Event Date,Health Planning Region,Case Status,Number of Cases,Number of Hospitalizations,Number of Deaths
04/15/2020,Northwest,Confirmed,80,7,1
04/15/2020,Eastern,Confirmed,49,10,3
04/15/2020,Southwest,Confirmed,14,3,1
04/15/2020,Northwest,Probable,8,0,0
04/15/2020,Northern,Confirmed,344,50,14
04/15/2020,Central,Confirmed,88,19,11
04/16/2020,Eastern,Confirmed,76,7,4
04/16/2020,Central,Confirmed,122,18,14
04/16/2020,Southwest,Confirmed,14,2,1
04/16/2020,Central,Probable,2,0,1
04/16/2020,Eastern,Probable,3,0,0
04/16/2020,Northern,Probable,13,1,0
04/16/2020,Northwest,Confirmed,63,8,1
04/16/2020,Northern,Confirmed,368,42,14
04/16/2020,Northwest,Probable,8,0,0
04/17/2020,Central,Confirmed,93,7,13
04/17/2020,Northwest,Probable,7,0,0
04/17/2020,Northwest,Confirmed,86,5,2
04/17/2020,Eastern,Probable,7,0,0
04/17/2020,Southwest,Confirmed,7,3,1
04/17/2020,Northern,Confirmed,355,45,13
04/17/2020,Northern,Probable,22,1,3
04/17/2020,Central,Probable,1,0,0
04/17/2020,Eastern,Confirmed,172,7,4
04/18/2020,Eastern,Probable,4,0,1
04/18/2020,Northern,Probable,13,1,1
04/18/2020,Eastern,Confirmed,60,7,4
04/18/2020,Northwest,Probable,7,0,0
04/18/2020,Northwest,Confirmed,57,12,6
04/18/2020,Southwest,Confirmed,21,1,0
04/18/2020,Northern,Confirmed,262,46,13
04/18/2020,Central,Confirmed,54,6,5
04/19/2020,Central,Confirmed,45,8,9
04/19/2020,Eastern,Confirmed,78,6,2
04/19/2020,Southwest,Probable,1,0,1
04/19/2020,Southwest,Confirmed,17,2,1
04/19/2020,Northern,Probable,12,0,0
04/19/2020,Northwest,Probable,16,0,0
04/19/2020,Northwest,Confirmed,65,5,6
04/19/2020,Central,Probable,5,0,1
04/19/2020,Northern,Confirmed,277,49,25
04/20/2020,Southwest,Probable,1,0,0
04/20/2020,Central,Confirmed,102,16,2
04/20/2020,Southwest,Confirmed,23,1,0
04/20/2020,Northwest,Confirmed,97,9,2
04/20/2020,Northern,Confirmed,501,60,17
04/20/2020,Eastern,Probable,4,0,0
04/20/2020,Eastern,Confirmed,172,7,3
04/20/2020,Central,Probable,2,0,0
04/20/2020,Northwest,Probable,20,0,3
04/20/2020,Northern,Probable,35,0,3
04/21/2020,Central,Probable,3,0,1
04/21/2020,Southwest,Confirmed,27,6,0
04/21/2020,Northwest,Confirmed,73,25,3
04/21/2020,Northern,Probable,15,0,0
04/21/2020,Eastern,Probable,3,0,3
04/21/2020,Eastern,Confirmed,107,8,1
04/21/2020,Central,Confirmed,84,7,5
04/21/2020,Northwest,Probable,12,0,0
04/21/2020,Northern,Confirmed,406,66,21
04/22/2020,Northwest,Probable,13,0,0
04/22/2020,Southwest,Confirmed,24,0,1
04/22/2020,Southwest,Probable,1,0,0
04/22/2020,Northwest,Confirmed,181,7,3
04/22/2020,Eastern,Probable,7,0,0
04/22/2020,Central,Probable,8,0,0
04/22/2020,Central,Confirmed,121,11,6
04/22/2020,Eastern,Confirmed,95,10,4
04/22/2020,Northern,Confirmed,436,55,17
04/22/2020,Northern,Probable,21,0,1
04/23/2020,Northern,Probable,26,0,4
04/23/2020,Northern,Confirmed,434,48,8
04/23/2020,Central,Probable,6,0,1
04/23/2020,Eastern,Confirmed,118,13,2
04/23/2020,Northwest,Confirmed,95,5,3
04/23/2020,Southwest,Confirmed,36,1,2
04/23/2020,Northwest,Probable,8,0,0
04/23/2020,Central,Confirmed,128,8,12
04/23/2020,Eastern,Probable,5,0,0
04/24/2020,Northwest,Confirmed,102,10,5
04/24/2020,Northern,Confirmed,545,65,20
04/24/2020,Northwest,Probable,18,0,0
04/24/2020,Northern,Probable,20,0,2
04/24/2020,Central,Probable,8,0,0
04/24/2020,Eastern,Probable,5,0,0
04/24/2020,Eastern,Confirmed,145,13,4
04/24/2020,Southwest,Confirmed,24,1,3
04/24/2020,Central,Confirmed,217,3,5
04/25/2020,Northwest,Probable,16,0,0
04/25/2020,Southwest,Confirmed,20,2,1
04/25/2020,Northwest,Confirmed,71,2,3
04/25/2020,Northern,Probable,19,0,3
04/25/2020,Central,Probable,5,0,1
04/25/2020,Northern,Confirmed,360,40,17
04/25/2020,Central,Confirmed,91,7,5
04/25/2020,Eastern,Probable,5,0,1
04/25/2020,Eastern,Confirmed,112,10,4
04/26/2020,Eastern,Probable,1,0,0
04/26/2020,Southwest,Confirmed,71,3,0
04/26/2020,Northwest,Probable,15,0,0
04/26/2020,Northern,Confirmed,376,68,15
04/26/2020,Eastern,Confirmed,67,7,7
04/26/2020,Northern,Probable,13,0,6
04/26/2020,Central,Probable,3,0,0
04/26/2020,Northwest,Confirmed,82,7,1
04/26/2020,Central,Confirmed,85,4,8
04/27/2020,Northwest,Confirmed,124,12,3
04/27/2020,Northern,Confirmed,603,67,13
04/27/2020,Northwest,Probable,13,0,0
04/27/2020,Central,Probable,6,0,1
04/27/2020,Southwest,Probable,1,0,0
04/27/2020,Northern,Probable,23,0,2
04/27/2020,Eastern,Probable,3,0,1
04/27/2020,Central,Confirmed,128,21,8
04/27/2020,Southwest,Confirmed,15,4,1
04/27/2020,Eastern,Confirmed,113,5,5
04/28/2020,Southwest,Probable,1,0,0
04/28/2020,Northwest,Confirmed,135,11,2
04/28/2020,Central,Probable,7,0,2
04/28/2020,Northern,Probable,23,0,2
04/28/2020,Central,Confirmed,132,10,2
04/28/2020,Northern,Confirmed,511,53,21
04/28/2020,Eastern,Probable,4,0,0
04/28/2020,Southwest,Confirmed,12,2,2
04/28/2020,Northwest,Probable,11,0,0
04/28/2020,Eastern,Confirmed,86,12,3
04/29/2020,Central,Probable,6,0,1
04/29/2020,Eastern,Confirmed,81,15,7
04/29/2020,Northwest,Confirmed,94,4,4
04/29/2020,Southwest,Confirmed,25,3,2
04/29/2020,Central,Confirmed,180,7,8
04/29/2020,Northern,Confirmed,492,59,16
04/29/2020,Northwest,Probable,13,0,1
04/29/2020,Northern,Probable,18,0,4
04/29/2020,Eastern,Probable,4,0,1
04/30/2020,Southwest,Confirmed,22,3,4
04/30/2020,Eastern,Probable,4,0,0
04/30/2020,Central,Probable,3,0,1
04/30/2020,Northern,Confirmed,554,63,21
04/30/2020,Central,Confirmed,111,4,9
04/30/2020,Northern,Probable,33,0,4
04/30/2020,Eastern,Confirmed,136,13,6
04/30/2020,Northwest,Confirmed,96,7,3
04/30/2020,Northwest,Probable,13,0,0
04/30/2020,Southwest,Probable,1,0,0
05/01/2020,Northern,Probable,28,0,0
05/01/2020,Southwest,Confirmed,36,3,3
05/01/2020,Eastern,Confirmed,124,15,4
05/01/2020,Northwest,Probable,15,0,0
05/01/2020,Northwest,Confirmed,133,15,3
05/01/2020,Eastern,Probable,4,0,0
05/01/2020,Northern,Confirmed,749,69,15
05/01/2020,Central,Probable,8,0,0
05/01/2020,Southwest,Probable,1,0,0
05/01/2020,Central,Confirmed,159,14,3
05/02/2020,Eastern,Probable,1,0,1
05/02/2020,Central,Confirmed,109,10,7
05/02/2020,Northwest,Probable,15,0,1
05/02/2020,Southwest,Confirmed,16,3,0
05/02/2020,Northern,Probable,16,1,1
05/02/2020,Northern,Confirmed,419,60,26
05/02/2020,Northwest,Confirmed,127,6,4
05/02/2020,Eastern,Confirmed,93,8,7
05/02/2020,Central,Probable,5,0,0
05/03/2020,Southwest,Confirmed,21,1,3
05/03/2020,Central,Probable,2,0,1
05/03/2020,Northern,Probable,9,0,3
05/03/2020,Northwest,Probable,9,0,0
05/03/2020,Central,Confirmed,96,14,2
05/03/2020,Eastern,Probable,1,0,0
05/03/2020,Northwest,Confirmed,108,16,5
05/03/2020,Northern,Confirmed,368,68,16
05/03/2020,Eastern,Confirmed,42,9,4
05/04/2020,Northern,Probable,30,0,2
05/04/2020,Northwest,Probable,8,0,1
05/04/2020,Southwest,Probable,0,1,0
05/04/2020,Northwest,Confirmed,117,14,6
05/04/2020,Eastern,Confirmed,138,13,5
05/04/2020,Central,Probable,10,0,0
05/04/2020,Southwest,Confirmed,21,4,1
05/04/2020,Eastern,Probable,1,0,0
05/04/2020,Northern,Confirmed,653,82,12
05/04/2020,Central,Confirmed,149,12,4
05/05/2020,Central,Probable,3,0,1
